id,name,desc,type,md5,omics_id,omics_type
89,PRO000000115_EPT000000115_SCT000000115.h5ad,sct_expr,h5ad,4ad9261a7fd0817463e71ef72a037342,SCT000000115,1
90,PRO000000116_EPT000000116_SCT000000116.h5ad,sct_expr,h5ad,bb07d4333371686dd6a9917fe0f89196,SCT000000116,1
91,PRO000000119_EPT000000119_SCT000000119.h5ad,sct_expr,h5ad,24abb82234e2f11119778908bde6a0b8,SCT000000119,1
92,PRO000000120_EPT000000120_SCT000000120.h5ad,sct_expr,h5ad,255ac7f8417c2092977568638e5bb0b4,SCT000000120,1
93,PRO000000121_EPT000000121_SCT000000121.h5ad,sct_expr,h5ad,73b70cd6ea8ef39e1002361203a98f89,SCT000000121,1
94,PRO000000123_EPT000000123_SCT000000123.h5ad,sct_expr,h5ad,423a4ababd91e3f11e6078799fdc3578,SCT000000123,1
95,PRO000000124_EPT000000124_SCT000000124.h5ad,sct_expr,h5ad,5033dadce0dde72ed1ffa988c5d980a4,SCT000000124,1
96,PRO000000125_EPT000000125_SCT000000125.h5ad,sct_expr,h5ad,1939d8f12c6a7332763b7e61f271e2ac,SCT000000125,1
97,PRO000000126_EPT000000126_SCT000000126.h5ad,sct_expr,h5ad,9af82835528877061f78636ea034a8a6,SCT000000126,1
98,PRO000000127_EPT000000127_SCT000000127.h5ad,sct_expr,h5ad,6af9864db56244469964ac9e1cf80878,SCT000000127,1
99,PRO000000128_EPT000000128_SCT000000128.h5ad,sct_expr,h5ad,f1edc77ad7d28d4ae645e833e173e254,SCT000000128,1
100,PRO000000129_EPT000000129_SCT000000129.h5ad,sct_expr,h5ad,e4b8ac2f3cef7c1aa8c5b90c2c4a4c67,SCT000000129,1
101,PRO000000130_EPT000000130_SCT000000130.h5ad,sct_expr,h5ad,cab40d61b5bb7b68c3223165b58c10be,SCT000000130,1
102,PRO000000131_EPT000000131_SCT000000131.h5ad,sct_expr,h5ad,c371025f073ef83e6488d3ef150f2e38,SCT000000131,1
103,PRO000000132_EPT000000132_SCT000000132.h5ad,sct_expr,h5ad,4625b3be4b98a6c118ca3bf0a809fc41,SCT000000132,1
